id,region,keyEvent,name,sales,cost,sector
1,1,Тренинг Март 2019,Оптиматика 1 Моторс,162,"18607,00",2
2,1,Тренинг Март 2019,Топ Карс Калуга,178,"10883,82",1
3,1,,Хит Моторс Славянка,85,"15659,24",2
4,1,,Бест Карс Москва,76,"8714,38",3
5,1,Тренинг Март 2019,МоторСпорт,511,"15501,25",1
6,1,Тренинг Март 2019,Хит Моторс Советская,380,"1729,48",0
7,1,Тренинг Март 2019,Кар Премиум Восток,38,"6134,58",3
8,1,,Хит Моторс Заречье,42,"2373,81",3
9,1,Тренинг Март 2019,Хит Моторс Химки,64,"13918,91",2
10,1,,Авто Центр Сколково,363,"19245,57",1
11,1,Тренинг Март 2019,Кар Премиум Нижний,341,"11485,90",1
12,1,,Оптиматика 12 Моторс,210,"13443,43",1
13,1,,Бест Карс Юг,341,"10071,57",1
14,1,Тренинг Март 2019,Кар Премиум Запад,132,"23157,61",2
15,1,,Макси Моторс,363,"21066,89",1
16,1,Тренинг Март 2019,Хит Моторс Юг,93,"24581,89",2
17,1,,АвтоСтиль Ярославка,254,"12851,36",1
18,1,,Лакшери Моторс,137,"25311,98",2
19,2,,Кар Премиум Восток,1013,"12470,97",1
20,2,,Топ Моторс Ростов,60,"6969,87",3
21,2,Тренинг Март 2019,Оптиматика 21 Моторс,79,"9498,99",3
22,2,,Хит Моторс Центр,1554,"7184,84",0
23,2,,Оптиматика 23 Моторс,138,"8447,99",3
24,2,,Кар Премиум Охта,113,"9967,72",3
25,2,Тренинг Март 2019,Оптиматика 25 Моторс,107,"8141,73",3
26,2,,Оптиматика 26 Моторс,103,"6172,97",3
27,2,Тренинг Март 2019,Оптиматика 27 Моторс,100,"6908,01",3
28,2,,Оптиматика 28 Моторс,34,"15510,41",2
29,2,,Оптиматика 29 Моторс,96,"4520,85",3
30,2,,Оптиматика 30 Моторс,228,"7312,23",0
31,2,Тренинг Март 2019,Оптиматика 31 Моторс,129,"2549,89",3
32,2,Тренинг Март 2019,Авто Центр Сочи,171,"4624,77",0
33,2,,АвтоСтиль Дубровка,207,"14295,43",1
34,2,,Лайм Моторс Кировск,143,"5172,48",3
35,2,,Оптиматика 35 Моторс,105,"6709,51",3
36,2,Тренинг Март 2019,Радиатор Моторс,585,"9740,91",0
37,2,,АвтоСтиль Реутов,158,"11981,05",2
38,2,,АвтоСтиль Балашиха,96,"6734,90",3
39,3,,Оптиматика 39 Моторс,53,"3624,47",3
40,3,Тренинг Март 2019,Оптиматика 40 Моторс,126,"8993,23",3
41,3,,Оптиматика 41 Моторс,105,"12916,38",2
42,3,Тренинг Март 2019,Авто Центр Мытищи,178,"4109,87",0
43,3,Тренинг Март 2019,Оптиматика 43 Моторс,60,"11421,37",2
44,3,,Лайм Моторс Белгород,236,"18972,15",1
45,3,,Оптиматика 45 Моторс,65,"8747,59",3
46,3,Тренинг Март 2019,Оптиматика 46 Моторс,124,"9736,12",3
47,3,,Оптиматика 47 Моторс,60,"3630,39",3
48,4,,Оптиматика 48 Моторс,264,"7845,09",0
49,4,,Оптиматика 49 Моторс,62,"6549,65",3
50,4,Тренинг Март 2019,Оптиматика 50 Моторс,86,"22311,04",2
51,4,,АвтоСтиль Тверь,160,"3189,73",3
52,4,,Оптиматика 52 Моторс,65,"11621,10",2
53,4,Тренинг Март 2019,Оптиматика 53 Моторс,43,"8718,67",3
54,4,,Топ Карс Отрадное,353,"5490,42",0
55,4,,Оптиматика 55 Моторс,84,"6235,56",3
56,4,Тренинг Март 2019,Хит Моторс Северо-Запад,53,"18450,51",2
57,4,Тренинг Март 2019,Оптиматика 57 Моторс,106,"7692,06",3
58,4,,Оптиматика 58 Моторс,81,"6694,18",3
59,4,,Оптиматика 59 Моторс,90,"9198,30",3
60,4,,Оптиматика 60 Моторс,116,"8087,86",3
61,4,Тренинг Март 2019,Оптиматика 61 Моторс,27,"13606,88",2
62,4,,Авто Центр Воронеж,79,"20714,89",2
63,4,,Оптиматика 63 Моторс,36,"8074,42",3
64,5,Тренинг Март 2019,Оптиматика 64 Моторс,80,"16609,68",2
65,5,Тренинг Март 2019,Оптиматика 65 Моторс,38,"10012,03",2
66,5,Тренинг Март 2019,Оптиматика 66 Моторс,66,"4885,38",3
67,5,Тренинг Март 2019,Оптиматика 67 Моторс,89,"4630,18",3
68,5,Тренинг Март 2019,Оптиматика 68 Моторс,63,"5953,29",3
69,6,,Оптиматика 69 Моторс,90,"7993,34",3
70,6,,Лайм Моторс Казань,270,"7510,62",0
71,6,Тренинг Март 2019,Оптиматика 71 Моторс,80,"8330,84",3
